source,date,compound_score,positive_score,neutral_score,negative_score,tweet
@BBCNews,2018-06-23 01:04:54+00:00,0.0,0.0,1.0,0.0,Turkey's elections explained in 100 and 500 words https://t.co/xngDGkJy1o
@BBCNews,2018-06-23 01:02:26+00:00,0.0,0.0,1.0,0.0,Eastbourne: Andy Murray takes wildcard at Nature Valley International https://t.co/38diPHuzvO
@BBCNews,2018-06-23 00:22:17+00:00,0.0,0.0,1.0,0.0,House prices tumble in seaside hot spots https://t.co/ITlkNPHUN1
@BBCNews,2018-06-23 00:15:30+00:00,0.0,0.0,1.0,0.0,Netflix comms boss Jonathan Friedland sacked over ’N-word’ https://t.co/P5jXd6KR5q
@BBCNews,2018-06-22 23:49:52+00:00,-0.128,0.0,0.857,0.143,Brexit: Campaigners to demand new vote in London march https://t.co/48AOuVElBX
@BBCNews,2018-06-22 23:40:19+00:00,0.0,0.0,1.0,0.0,Game of Thrones: Kit Harington and Rose Leslie's wedding is coming https://t.co/GhfunqqF75
@BBCNews,2018-06-22 23:10:22+00:00,-0.2023,0.0,0.795,0.205,Two-thirds of drivers 'unaware of mobile penalties' https://t.co/pD2sE2nxNb
@BBCNews,2018-06-22 23:00:19+00:00,0.5574,0.31,0.69,0.0,Newspaper headlines: 'Fantastic Brexit' and 'bog roll Brexit' https://t.co/X3EjdnOaaT
@BBCNews,2018-06-22 21:42:53+00:00,-0.3182,0.0,0.796,0.204,Baron Edouard-Jean Empain who lost finger to kidnappers dies https://t.co/GnTVtrStLv
@BBCNews,2018-06-22 20:05:51+00:00,0.5859,0.241,0.759,0.0,World Cup 2018: Switzerland's Zherdan Shaqiri scores 90th minute winner against Serbia https://t.co/9jveijiZrR
@BBCNews,2018-06-22 19:40:37+00:00,-0.34,0.0,0.769,0.231,London Euston fire: Crews tackle blaze near station https://t.co/3v0yqCXAFw
@BBCNews,2018-06-22 19:20:16+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Nigeria 2-0 Iceland https://t.co/TeCzJC8enz
@BBCNews,2018-06-22 19:15:32+00:00,-0.25,0.181,0.532,0.287,Van crash puppy has 'miraculous escape' https://t.co/59CZUeeF4v
@BBCNews,2018-06-22 18:14:01+00:00,-0.836,0.0,0.44,0.56,Elif Kaya death: Sister Meliha sentenced for causing death https://t.co/2AxBTD4HJW
@BBCNews,2018-06-22 17:46:44+00:00,0.296,0.216,0.784,0.0,German car shares dip on Trump tariff tweet https://t.co/czW2txEGos
@BBCNews,2018-06-22 16:53:47+00:00,0.0,0.0,1.0,0.0,Boris Becker insists CAR diplomatic passport is genuine https://t.co/NTgK4jR1rE
@BBCNews,2018-06-22 16:52:15+00:00,0.0,0.0,1.0,0.0,"Boom boom! 

When @realbasilbrush met @BBCSimonMcCoy https://t.co/OzguQVgCqH"
@BBCNews,2018-06-22 16:45:25+00:00,-0.5994,0.0,0.813,0.187,RT @BBC_HaveYourSay: The death of Koko the gorilla has linguists talking about the portrayal of sign languages https://t.co/mPazR3peFy
@BBCNews,2018-06-22 16:33:33+00:00,0.0,0.0,1.0,0.0,West End theatre renamed after Cats choreographer Gillian Lynne https://t.co/XHjsQayVVP
@BBCNews,2018-06-22 16:23:58+00:00,0.25,0.212,0.641,0.147,Lewis Hamilton tops French GP practice as Sergio Perez loses wheel https://t.co/eRCmQfTt02
@BBCNews,2018-06-22 16:23:07+00:00,-0.5267,0.106,0.606,0.288,John Leslie cleared of sexual assault in Edinburgh nightclub https://t.co/oUaSMDfNjB
@BBCNews,2018-06-22 16:13:30+00:00,0.7163,0.184,0.816,0.0,"RT @BBCSport: GOAL! #NGA 1-0 #ISL 

Ahmed Musa! He collects a cross mid-air and hammers into the back of the net - great goal!

📺 @BBCOne…"
@BBCNews,2018-06-22 16:11:14+00:00,-0.5994,0.0,0.642,0.358,Koko: Gorilla death coverage rekindles language debate https://t.co/pFmNgOEzvS
@BBCNews,2018-06-22 15:49:39+00:00,-0.4215,0.0,0.714,0.286,St Paul's Girls' School 'Austerity Day' criticised https://t.co/Zylo3jdyvv
@BBCNews,2018-06-22 14:22:16+00:00,-0.1645,0.2,0.549,0.251,Khawla Barghouthi jailed for not revealing attack plan https://t.co/Rb1vulYlHa
@BBCNews,2018-06-22 14:15:02+00:00,0.7906,0.389,0.611,0.0,World Cup 2018: Philippe Coutinho &amp; Neymar late goals hand Brazil win https://t.co/O6IfMcSRoS
@BBCNews,2018-06-22 14:05:22+00:00,0.0,0.0,1.0,0.0,Migrant families separation poster girl 'not taken from mum' https://t.co/AxGebXSwr0
@BBCNews,2018-06-22 14:04:15+00:00,0.4404,0.207,0.705,0.087,"Puppy has ""miraculous"" escape after being cut free from the wreckage of crashed van - the owners also weren't hurt… https://t.co/iBtGTK8J4t"
@BBCNews,2018-06-22 13:55:56+00:00,0.0,0.0,1.0,0.0,Dorothea Lange: Piercing portraits from US history https://t.co/V8NyuuZTCy
@BBCNews,2018-06-22 13:54:37+00:00,0.0,0.0,1.0,0.0,"RT @BBCSport: GOAL! #BRA 2-0 #CRC 

Game over - Neymar adds a second deep into added time.

📻 @5liveSport 
📱 https://t.co/AnVTt3eeHi

#bbcw…"
@BBCNews,2018-06-22 13:53:48+00:00,-0.2263,0.0,0.826,0.174,James Corden tears up at Paul McCartney's carpool karaoke https://t.co/qr4M6VpQgX
@BBCNews,2018-06-22 13:50:45+00:00,0.5972,0.156,0.844,0.0,"RT @BBCSport: GOAL! #BRA 1-0 #CRC 

Coutinho to the rescue! He arrives late in the box to poke past Navas.

📻 @5liveSport 
📱 https://t.co/A…"
@BBCNews,2018-06-22 13:39:00+00:00,0.0,0.0,1.0,0.0,Kim Kardashian defends wearing hair in braids: 'I'm not tone deaf' https://t.co/jiqLA8pMkg
@BBCNews,2018-06-22 13:38:15+00:00,0.0,0.0,1.0,0.0,"RT @BBCMOTD: Drama!

After a consultation with VAR, the decision is overturned.

Neymar isn't booked...

#BRA 0-0 #CRC as you were! https:/…"
@BBCNews,2018-06-22 13:16:26+00:00,0.5574,0.286,0.714,0.0,"#Windrush70: Just one of the remarkable stories ❤️

Thread 👇 https://t.co/Gelq3tUfCc"
@BBCNews,2018-06-22 13:09:41+00:00,0.7269,0.55,0.45,0.0,House of Fraser rescue plan approved https://t.co/POKYerDEWp
@BBCNews,2018-06-22 12:53:00+00:00,-0.1531,0.0,0.873,0.127,World Cup 2018: England's Dele Alli likely to miss Panama match https://t.co/go5gFzdCLm
@BBCNews,2018-06-22 12:39:31+00:00,-0.34,0.0,0.906,0.094,"RT @danroan: Southgate rebuke to media today when asked about Steve Holland team sheet leak gaffe: “Obviously any time, if we were to give…"
@BBCNews,2018-06-22 12:38:37+00:00,0.0,0.0,1.0,0.0,'Drink-driver' clocked at 132mph near Bedford https://t.co/ABGkaPJ8I7
@BBCNews,2018-06-22 12:34:01+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Brazil v Costa Rica - rate the players https://t.co/9eG76VRqvO
@BBCNews,2018-06-22 12:17:11+00:00,-0.5994,0.0,0.719,0.281,Brooklyn Nine-Nine's Stephanie Beatriz: 'I'm bi till the day I die' https://t.co/saWbKEZpWM
@BBCNews,2018-06-22 12:01:01+00:00,0.0,0.0,1.0,0.0,People mark 'Take Your Dog To Work Day' with pictures of busy pups https://t.co/OB4pKgOzm0
@BBCNews,2018-06-22 11:59:45+00:00,0.0,0.0,1.0,0.0,"RT @daily_politics: “In a nutshell, what is Brexit?” @HayleyHughes_xx asks @adamfleming #bbcdp https://t.co/3x0qaVsgCl"
@BBCNews,2018-06-22 11:55:31+00:00,0.3612,0.333,0.667,0.0,Ready for more footy? #BRACRC https://t.co/8pypCKMZpZ
@BBCNews,2018-06-22 11:40:04+00:00,0.0,0.0,1.0,0.0,Lewis Hamilton fastest in French GP practice as Marcus Ericsson crashes https://t.co/dBUbpUbsb7
@BBCNews,2018-06-22 11:23:13+00:00,0.4019,0.162,0.838,0.0,"Nature Valley International: Britons Heather Watson, Harriet Dart and Katie Swan awarded Eastbourne wildcards https://t.co/QD4AHXS9sa"
@BBCNews,2018-06-22 11:18:42+00:00,0.2263,0.165,0.745,0.09,RT @BBCNewsround: 'I fought every day...' @FloellaBenjamin tells us what it was like growing up as a black child in the UK #WindrushGenerat…
